,title,content,date,variant,images,verified,author,rating,product,url,PredictionsRNN,PredictionsCNN,PredictionsBERT
0,Warning Everyone: Phone is Overheating like hell,"I just received my Oneplus Pro 9 12Gb/256GB Model, guess what I dint even finish setting up the phone the Phone is OVERHEATING and showing a message that Phone is Overheated. Oneplus is this your premium Phone??? COMMON... I am very disappointed buying this. I initially thought my phone might be defective, but i researched more about this, I found a Forum Thread in Oneplus Website where everyone is complaining of Over Heating issues. You cannot even record a 4k video for 60 sec, phone overheats and stops the recording. Forget 8K recording.. Just read the thread in OnePlus Forum, others cannot even click photo, phone overheats and stops the camera... What is this ONEPLUS? You better release an software update and fix this mess. This is not expected from premium phone like this. I will not change One Star until you fix this Over Heating issue. VERY MUCH DISSAPOINTED.",03 Apr 2021,"Style name: 12GB RAM, 256GB Storage Colour: Morning Mist",,Yes,Vijeth Kumar,1.0,"OnePlus 9 Pro 5G (Morning Mist, 12GB RAM, 256GB Storage) I Extra INR4000 off on coupons",https://www.amazon.in/Test-Exclusive_2020_1167-Multi-3GB-Storage/product-reviews/B089MV3MVY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Negative Comment,Negative Comment,Negative Comment
1,Worst mobile,Completely I didn't like this mobile and waste of my money. Please guys don't buy this mobile and don't waste your money.,03 Apr 2021,"Style name: 12GB RAM, 256GB Storage Colour: Morning Mist",,Yes,Ram,1.0,"OnePlus 9 Pro 5G (Morning Mist, 12GB RAM, 256GB Storage) I Extra INR4000 off on coupons",https://www.amazon.in/Test-Exclusive_2020_1167-Multi-3GB-Storage/product-reviews/B089MV3MVY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Negative Comment,Negative Comment,Negative Comment
2,Not up to the expectations.,Worst battery,03 Apr 2021,"Style name: 12GB RAM, 256GB Storage Colour: Morning Mist",,Yes,Irfan shaikh,1.0,"OnePlus 9 Pro 5G (Morning Mist, 12GB RAM, 256GB Storage) I Extra INR4000 off on coupons",https://www.amazon.in/Test-Exclusive_2020_1167-Multi-3GB-Storage/product-reviews/B089MV3MVY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Positive Comment,Positive Comment,Positive Comment
3,DEFECTIVE PIECE RECEIVED AFTER PAYING 70K.. TOTALLY WASTE OF MONEY,Got the product with link line on display.. dont but this product .. waste of money,04 Apr 2021,"Style name: 12GB RAM, 256GB Storage Colour: Morning Mist",https://images-na.ssl-images-amazon.com/images/I/91Tl19-AVKL._SY88.jpg,Yes,deep vijay tanna,1.0,"OnePlus 9 Pro 5G (Morning Mist, 12GB RAM, 256GB Storage) I Extra INR4000 off on coupons",https://www.amazon.in/Test-Exclusive_2020_1167-Multi-3GB-Storage/product-reviews/B089MV3MVY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Negative Comment,Negative Comment,Negative Comment
4,Warp charge with Warp drain,"I know that with so much competition, its more about marketing than actual product. My only expectations were a good camera, high performance processor and a long battery life. Since I was switching from Oneplus 5, the camera system and the performance was a good upgrade for me. BUT unfortunately the battery was way out of expectation. Fully charged at 09.25am, it died at 16:49pm under low usage. I didn't install any demanding apps or games. Also the back side was pretty warm all of the time, even when not doing anything. Before that day I left the phone at 50% while going to sleep and in the morning it was 38%. Its definitely a defect with such a low standby time for a new device. There's no point in 30 minutes fast charge if the drain is that fast. In two days of using the device I had to charge it 3 times. It could be a defect on my unit only but unfortunately I had to return it. I could have waited to see if an update could solve it but just didn't want to end up in the service center fiasco. Everybody knows how after sales service works in India. Lets wait more to see if others complain about the same too.",05 Apr 2021,"Style name: 12GB RAM, 256GB Storage Colour: Stellar Black","https://images-na.ssl-images-amazon.com/images/I/61pOI8R8vOL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/716hrDSfRrL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71mBRYMBVsL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71yii5UfUKL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71zTKbO60RL._SY88.jpg",Yes,Amit Upadhyay,1.0,"OnePlus 9 Pro 5G (Morning Mist, 12GB RAM, 256GB Storage) I Extra INR4000 off on coupons",https://www.amazon.in/Test-Exclusive_2020_1167-Multi-3GB-Storage/product-reviews/B089MV3MVY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Negative Comment,Negative Comment,Negative Comment
5,Looks annoying,The back looks very cheesy. Made of tin. It gets heated too frequently. Battery backup is too less.,03 Apr 2021,"Style name: 12GB RAM, 256GB Storage Colour: Morning Mist",,Yes,Abhishek,1.0,"OnePlus 9 Pro 5G (Morning Mist, 12GB RAM, 256GB Storage) I Extra INR4000 off on coupons",https://www.amazon.in/Test-Exclusive_2020_1167-Multi-3GB-Storage/product-reviews/B089MV3MVY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Negative Comment,Positive Comment,Negative Comment
6,Useless do not buy,It is a phone which does not had cooling system its heat too much in even simple use .wasted 65k rs for such thing,03 Apr 2021,"Style name: 8GB RAM, 128GB  Storage Colour: Morning Mist",,Yes,Ajay,1.0,"OnePlus 9 Pro 5G (Morning Mist, 12GB RAM, 256GB Storage) I Extra INR4000 off on coupons",https://www.amazon.in/Test-Exclusive_2020_1167-Multi-3GB-Storage/product-reviews/B089MV3MVY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Negative Comment,Negative Comment,Negative Comment
7,OnePlus Disappointment Pro. Fake marketing for camera. Useless camera. Hasselblad is a hassle,"Disappointment continues with OnePlus 9 pro too. Phones made after OnePlus 5T are simply not worth the cost. 1. Very poor quality camera. Samsung camera is way way better than this one. Camera hype is all fake and useless. There is no hardware improvement in camera since OnePlus 5t. Colors are a bit richer, but that is not what we wanted. We wanted better resolution nad zooming capacity, which is absolutely not there. Hasselblad partnership is useless. 2. Extreme Overheating issues. I cannot take a video more than 1 min in 4k 120 fps & more than 2-2.5 mins. In 4k 60 fps or 2k 60/120 fps. Phone immediately heats up and tells you that temperature is very high and screen goes dark. India is a country where temperatures go close to 50 degrees in summers in many areas. This just won't work in india this way. After 1 min the recording stops and phone shuts down. 3. Pictures are like what I could take back in 2015 with OnePlus 5T. The only improvement is contrast and nothing else. 4. Battery is also not good. It drains from 100 % to 57 % in just 1 hour of watching videos on you tube. And if you play any games on it, it will die and also phone will hear up very badly. Go for samsung phones instead. There is no returning this phone once purchased. So be careful.",05 Apr 2021,"Style name: 12GB RAM, 256GB Storage Colour: Morning Mist",,Yes,P. P.,2.0,"OnePlus 9 Pro 5G (Morning Mist, 12GB RAM, 256GB Storage) I Extra INR4000 off on coupons",https://www.amazon.in/Test-Exclusive_2020_1167-Multi-3GB-Storage/product-reviews/B089MV3MVY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Negative Comment,Negative Comment,Negative Comment
8,Not worth 70K,"The phone hangs and there is No back button in this. So, the apps do not close properly. The battery backup is not good at all if you are constantly on net. You play a you tube video and sometimes, even you close the video, the music keeps on running in the backend till you have to switch off the phone to stop that music. When you wake up the phone, the light flickering issue is there. Video call experience is not that great. Not happy with it's performance. Too much of money ...",04 Apr 2021,"Style name: 12GB RAM, 256GB Storage Colour: Morning Mist",,Yes,Rohit Singh,2.0,"OnePlus 9 Pro 5G (Morning Mist, 12GB RAM, 256GB Storage) I Extra INR4000 off on coupons",https://www.amazon.in/Test-Exclusive_2020_1167-Multi-3GB-Storage/product-reviews/B089MV3MVY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Negative Comment,Negative Comment,Negative Comment
9,Heating issues. Don't buy,Very disappointed at the heating issues. Wouldn't recommend buying this. I bought this on the first release date itself and was super excited to get my hands on it. Phone gets heated a lot even with basic operations and battery gets drained quickly too. Same issue is being experienced by everyone else too.. just google oneplus9 heating issues! Don't buy until they address this issue. Go for better alternatives at this price,04 Apr 2021,"Style name: 12GB RAM, 256GB Storage Colour: Stellar Black",,Yes,Hardhik Mallipeddi,1.0,"OnePlus 9 Pro 5G (Morning Mist, 12GB RAM, 256GB Storage) I Extra INR4000 off on coupons",https://www.amazon.in/Test-Exclusive_2020_1167-Multi-3GB-Storage/product-reviews/B089MV3MVY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Negative Comment,Negative Comment,Negative Comment
